Date,USD,CRUDE,GOLD,SMA,MACD,RSI
03-Nov-15,65.56899793,3094.240443,2624.079604,66.56899793,65.56899793,67.56899793
04-Nov-15,65.60900145,3122.300536,2592.224881,66.60900145,65.60900145,67.60900145
05-Nov-15,65.86000021,3051.335119,2581.717823,66.86000021,65.86000021,67.86000021
06-Nov-15,66.13999827,2983.014098,2566.814173,67.13999827,66.13999827,68.13999827
09-Nov-15,66.47500151,2960.769208,2569.775838,67.47500151,66.47500151,68.47500151
10-Nov-15,66.20000079,2941.80341,2562.440263,67.20000079,66.20000079,68.20000079
11-Nov-15,66.0700017,2899.575479,2550.636511,67.0700017,66.0700017,68.0700017
12-Nov-15,66.05500175,2807.477323,2537.839182,67.05500175,66.05500175,68.05500175
13-Nov-15,66.05899875,2747.068379,2540.908629,67.05899875,66.05899875,68.05899875
16-Nov-15,65.88600101,2720.476083,2555.055049,66.88600101,65.88600101,67.88600101
17-Nov-15,65.9810009,2741.896335,2519.405723,66.9810009,65.9810009,67.9810009
18-Nov-15,66.03300078,2726.358987,2509.334725,67.03300078,66.03300078,68.03300078
19-Nov-15,66.09000057,2724.235882,2525.883996,67.09000057,66.09000057,68.09000057
20-Nov-15,66.05799945,2793.100289,2535.824866,66.05799945,65.05799945,67.05799945
23-Nov-15,66.39500046,2781.402157,2516.419638,67.39500046,66.39500046,68.39500046
24-Nov-15,66.26200021,2850.853099,2527.460862,67.26200021,66.26200021,68.26200021
25-Nov-15,66.36800181,2831.09264,2522.087178,67.36800181,66.36800181,68.36800181
26-Nov-15,66.56499972,2872.913785,2531.094496,67.56499972,66.56499972,68.56499972
27-Nov-15,66.90700107,2836.640502,2516.96434,67.90700107,66.90700107,68.90700107
30-Nov-15,66.46199916,2822.835375,2507.912464,67.46199916,66.46199916,68.46199916
01-Dec-15,66.43400151,2794.364891,2533.486356,67.43400151,66.43400151,68.43400151
02-Dec-15,66.59100153,2758.769056,2519.367639,67.59100153,66.59100153,68.59100153
03-Dec-15,66.79000108,2734.007017,2507.409395,67.79000108,66.79000108,68.79000108
04-Dec-15,66.64299952,2740.659491,2545.183368,67.64299952,66.64299952,68.64299952
07-Dec-15,66.77300044,2604.183772,2562.880267,67.77300044,66.77300044,68.77300044
08-Dec-15,66.85699963,2529.233087,2548.355037,67.85699963,66.85699963,68.85699963
09-Dec-15,66.85500166,2554.120004,2558.873277,67.85500166,66.85500166,68.85500166
10-Dec-15,66.75599955,2487.562306,2546.330483,67.75599955,66.75599955,68.75599955
11-Dec-15,67.14800145,2439.119096,2546.395323,68.14800145,67.14800145,69.14800145
14-Dec-15,67.09299794,2402.587656,2548.290097,68.09299794,67.09299794,69.09299794
15-Dec-15,66.86299872,2479.750596,2530.185108,67.86299872,66.86299872,68.86299872
16-Dec-15,66.4760002,2455.636306,2535.638398,67.4760002,66.4760002,68.4760002
17-Dec-15,66.42100195,2359.493929,2503.298095,67.42100195,66.42100195,68.42100195
18-Dec-15,66.25499786,2369.84846,2499.718782,67.25499786,66.25499786,68.25499786
21-Dec-15,66.25099907,2390.704373,2525.609682,67.25099907,66.25099907,68.25099907
22-Dec-15,66.24399904,2415.422607,2531.991715,67.24399904,66.24399904,68.24399904
23-Dec-15,66.03699947,2474.516081,2515.191758,67.03699947,66.03699947,68.03699947
24-Dec-15,65.94700024,2519.013332,2517.401538,66.94700024,65.94700024,67.94700024
28-Dec-15,66.13700187,2474.302809,2515.22339,67.13700187,66.13700187,68.13700187
29-Dec-15,66.23499993,2496.313906,2519.951718,67.23499993,66.23499993,68.23499993
30-Dec-15,66.47500151,2462.83106,2509.120654,67.47500151,66.47500151,68.47500151
31-Dec-15,66.20799971,2456.284298,2493.063052,67.20799971,66.20799971,68.20799971
01-Jan-16,66.23499993,2483.568794,2497.090889,67.23499993,66.23499993,68.23499993
04-Jan-16,66.57899988,2504.76255,2531.491757,67.57899988,66.57899988,68.57899988
05-Jan-16,66.48099853,2445.324947,2541.03776,67.48099853,66.48099853,68.48099853
06-Jan-16,66.69800139,2350.548065,2563.484699,67.69800139,66.69800139,68.69800139
07-Jan-16,66.89100125,2229.599418,2598.610783,67.89100125,66.89100125,68.89100125
08-Jan-16,66.84700205,2247.157121,2593.811684,67.84700205,66.84700205,68.84700205
11-Jan-16,66.7600016,2173.536165,2599.056542,67.7600016,66.7600016,68.7600016
12-Jan-16,66.94600109,2091.430424,2578.575646,67.94600109,66.94600109,68.94600109
13-Jan-16,66.9169987,2080.837705,2562.151387,67.9169987,66.9169987,68.9169987
14-Jan-16,67.3160013,2100.120202,2585.997342,68.3160013,67.3160013,69.3160013
15-Jan-16,67.77500028,2032.118534,2597.240691,68.77500028,67.77500028,69.77500028
18-Jan-16,67.66099918,1993.404825,2604.112414,68.66099918,67.66099918,69.66099918
19-Jan-16,67.73400099,2031.347819,2597.652242,68.73400099,67.73400099,69.73400099
20-Jan-16,67.95800005,1965.147618,2635.414169,68.95800005,67.95800005,69.95800005
21-Jan-16,67.79900037,1971.538552,2633.096442,68.79900037,67.79900037,69.79900037
22-Jan-16,67.54900072,2122.229058,2617.999796,68.54900072,67.54900072,69.54900072
25-Jan-16,67.75500171,2144.235846,2635.96297,68.75500171,67.75500171,69.75500171
27-Jan-16,68.14400136,2142.420115,2674.705047,69.14400136,68.14400136,70.14400136
28-Jan-16,68.05300158,2266.028143,2675.921788,69.05300158,68.05300158,70.05300158
29-Jan-16,67.87799934,2298.594158,2661.818608,68.87799934,67.87799934,69.87799934
01-Feb-16,67.83499788,2223.19078,2684.765566,68.83499788,67.83499788,69.83499788
02-Feb-16,67.97499961,2094.783032,2696.079092,68.97499961,67.97499961,69.97499961
03-Feb-16,67.93399804,2104.858986,2713.188811,68.93399804,67.93399804,69.93399804
04-Feb-16,67.54400019,2217.386314,2732.501742,68.54400019,67.54400019,69.54400019
05-Feb-16,67.81000207,2163.663881,2744.22204,68.81000207,67.81000207,69.81000207
08-Feb-16,68.0340004,2081.865024,2805.844012,69.0340004,68.0340004,70.0340004
09-Feb-16,67.90099817,2038.238088,2836.557554,68.90099817,67.90099817,69.90099817
10-Feb-16,67.86100221,1934.222753,2820.26189,68.86100221,67.86100221,69.86100221
11-Feb-16,68.47100079,1854.077791,2937.211235,69.47100079,68.47100079,70.47100079
12-Feb-16,68.11799781,1940.911717,2953.363438,69.11799781,68.11799781,70.11799781
15-Feb-16,68.13100175,2041.45009,2879.47939,69.13100175,68.13100175,70.13100175
16-Feb-16,68.47400141,2069.609012,2881.860991,69.47400141,68.47400141,70.47400141
17-Feb-16,68.32900196,2071.865225,2888.103325,69.32900196,68.32900196,70.32900196
18-Feb-16,68.5419986,2170.342399,2896.963692,69.5419986,68.5419986,70.5419986
19-Feb-16,68.54500075,2127.523793,2946.92297,69.54500075,68.54500075,70.54500075
22-Feb-16,68.5329984,2296.153399,2898.517119,69.5329984,68.5329984,70.5329984
23-Feb-16,68.5609979,2262.127163,2924.344289,69.5609979,68.5609979,70.5609979
24-Feb-16,68.43100034,2167.478301,2959.420427,69.43100034,68.43100034,70.43100034
25-Feb-16,68.76800131,2208.712256,2962.989301,69.76800131,68.76800131,70.76800131
26-Feb-16,68.73700226,2334.160178,2949.678485,69.73700226,68.73700226,70.73700226
29-Feb-16,68.2079992,2283.960505,2958.562375,69.2079992,68.2079992,70.2079992
01-Mar-16,67.7530002,2333.139001,2955.632993,68.7530002,67.7530002,69.7530002
