Date,USD,CRUDE,GOLD
11/2/2015,65.56099792,3044.756038,2646.833064
11/3/2015,65.56899793,3094.240443,2624.079604
11/4/2015,65.60900145,3122.300536,2592.224881
11/5/2015,65.86000021,3051.335119,2581.717823
11/6/2015,66.13999827,2983.014098,2566.814173
11/9/2015,66.47500151,2960.769208,2569.775838
11/10/2015,66.20000079,2941.80341,2562.440263
11/11/2015,66.0700017,2899.575479,2550.636511
11/12/2015,66.05500175,2807.477323,2537.839182
11/13/2015,66.05899875,2747.068379,2540.908629
11/16/2015,65.88600101,2720.476083,2555.055049
11/17/2015,65.9810009,2741.896335,2519.405723
11/18/2015,66.03300078,2726.358987,2509.334725
11/19/2015,66.09000057,2724.235882,2525.883996
11/20/2015,66.05799945,2793.100289,2535.824866
11/23/2015,66.39500046,2781.402157,2516.419638
11/24/2015,66.26200021,2850.853099,2527.460862
11/25/2015,66.36800181,2831.09264,2522.087178
11/26/2015,66.56499972,2872.913785,2531.094496
11/27/2015,66.90700107,2836.640502,2516.96434
11/30/2015,66.46199916,2822.835375,2507.912464
12/1/2015,66.43400151,2794.364891,2533.486356
12/2/2015,66.59100153,2758.769056,2519.367639
12/3/2015,66.79000108,2734.007017,2507.409395
12/4/2015,66.64299952,2740.659491,2545.183368
12/7/2015,66.77300044,2604.183772,2562.880267
12/8/2015,66.85699963,2529.233087,2548.355037
12/9/2015,66.85500166,2554.120004,2558.873277
12/10/2015,66.75599955,2487.562306,2546.330483
12/11/2015,67.14800145,2439.119096,2546.395323
12/14/2015,67.09299794,2402.587656,2548.290097
12/15/2015,66.86299872,2479.750596,2530.185108
12/16/2015,66.4760002,2455.636306,2535.638398
12/17/2015,66.42100195,2359.493929,2503.298095
12/18/2015,66.25499786,2369.84846,2499.718782
12/21/2015,66.25099907,2390.704373,2525.609682
12/22/2015,66.24399904,2415.422607,2531.991715
12/23/2015,66.03699947,2474.516081,2515.191758
12/24/2015,65.94700024,2519.013332,2517.401538
12/28/2015,66.13700187,2474.302809,2515.22339
12/29/2015,66.23499993,2496.313906,2519.951718
12/30/2015,66.47500151,2462.83106,2509.120654
12/31/2015,66.20799971,2456.284298,2493.063052
1/1/2016,66.23499993,2483.568794,2497.090889
1/4/2016,66.57899988,2504.76255,2531.491757
1/5/2016,66.48099853,2445.324947,2541.03776
1/6/2016,66.69800139,2350.548065,2563.484699
1/7/2016,66.89100125,2229.599418,2598.610783
1/8/2016,66.84700205,2247.157121,2593.811684
1/11/2016,66.7600016,2173.536165,2599.056542
1/12/2016,66.94600109,2091.430424,2578.575646
1/13/2016,66.9169987,2080.837705,2562.151387
1/14/2016,67.3160013,2100.120202,2585.997342
1/15/2016,67.77500028,2032.118534,2597.240691
1/18/2016,67.66099918,1993.404825,2604.112414
1/19/2016,67.73400099,2031.347819,2597.652242
1/20/2016,67.95800005,1965.147618,2635.414169
1/21/2016,67.79900037,1971.538552,2633.096442
1/22/2016,67.54900072,2122.229058,2617.999796
1/25/2016,67.75500171,2144.235846,2635.96297
1/27/2016,68.14400136,2142.420115,2674.705047
1/28/2016,68.05300158,2266.028143,2675.921788
1/29/2016,67.87799934,2298.594158,2661.818608
2/1/2016,67.83499788,2223.19078,2684.765566
2/2/2016,67.97499961,2094.783032,2696.079092
2/3/2016,67.93399804,2104.858986,2713.188811
2/4/2016,67.54400019,2217.386314,2732.501742
2/5/2016,67.81000207,2163.663881,2744.22204
2/8/2016,68.0340004,2081.865024,2805.844012
2/9/2016,67.90099817,2038.238088,2836.557554
2/10/2016,67.86100221,1934.222753,2820.26189
2/11/2016,68.47100079,1854.077791,2937.211235
2/12/2016,68.11799781,1940.911717,2953.363438
2/15/2016,68.13100175,2041.45009,2879.47939
2/16/2016,68.47400141,2069.609012,2881.860991
2/17/2016,68.32900196,2071.865225,2888.103325
2/18/2016,68.5419986,2170.342399,2896.963692
2/19/2016,68.54500075,2127.523793,2946.92297
2/22/2016,68.5329984,2296.153399,2898.517119
2/23/2016,68.5609979,2262.127163,2924.344289
2/24/2016,68.43100034,2167.478301,2959.420427
2/25/2016,68.76800131,2208.712256,2962.989301
2/26/2016,68.73700226,2334.160178,2949.678485
2/29/2016,68.2079992,2283.960505,2958.562375
3/1/2016,67.7530002,2333.139001,2955.632993
3/2/2016,67.39499994,2326.405283,2922.088358
3/3/2016,67.12199994,2349.019427,2942.985541
3/4/2016,66.93800209,2368.617642,2980.021933
3/7/2016,66.98899987,2498.771769,2980.545976
3/8/2016,67.31300162,2536.735694,3000.066001
3/9/2016,67.12800162,2526.836523,2955.353475
3/10/2016,67.30200205,2555.26358,2949.800299
3/11/2016,66.92100217,2603.365329,2971.494454
3/14/2016,67.13799779,2525.954557,2941.072668
3/15/2016,67.37200212,2467.007209,2905.751936
3/16/2016,67.17299882,2534.064194,2904.123274
3/17/2016,66.61899855,2646.543347,2948.13059
3/18/2016,66.38399917,2729.896748,2923.891114
3/21/2016,66.49999993,2750.425529,2896.678379
3/22/2016,66.75500133,2770.408198,2915.400897
3/23/2016,66.93000052,2731.048035,2874.504867
3/24/2016,66.91600014,2629.850948,2863.639227
3/28/2016,66.60799834,2654.666726,2846.326815
3/29/2016,66.37500163,2586.353109,2857.542913
3/30/2016,66.37500163,2597.901551,2866.882065
3/31/2016,66.25499786,2552.236677,2863.549025
4/1/2016,66.36499793,2501.867664,2860.297357
4/4/2016,66.10599965,2438.993447,2838.127404
4/5/2016,66.42199902,2380.255784,2875.347917
4/6/2016,66.51699898,2487.833694,2870.643081
4/7/2016,66.75699779,2507.388807,2893.995827
