ds,y
1,2438.25
2,2412.550049
3,2433.949951
4,2466.399902
5,2454.449951
6,2384.100098
7,2415.050049
8,2406.149902
9,2457.399902
10,2457.550049
11,2462.550049
12,2492.300049
13,2488.600098
14,2482.100098
15,2453.949951
16,2454.350098
17,2465.449951
18,2416.600098
19,2428.399902
20,2450.75
21,2395.800049
22,2431.600098
23,2404.25
24,2415
25,2414
26,2259.75
27,2345.949951
28,2391.649902
29,2436.449951
30,2405.649902
31,2414.300049
32,2435.149902
33,2437.600098
34,2403.649902
35,2401.75
36,2350.25
37,2318.800049
38,2377.25
39,2369.5
40,2292.300049
41,2302.600098
42,2281.449951
43,2272.199951
44,2175.75
45,2179.649902
46,2191.399902
47,2206.050049
48,2195.050049
49,2109.449951
50,2027.900024
51,2036.25
52,1875.699951
53,2066.800049
54,1841.75
55,1755.800049
56,1622.550049
57,1617.599976
58,1753.949951
59,1520.699951
60,1505.099976
61,1646.050049
62,1733.25
63,1754
64,1558.75
65,1633.099976
66,1583.5
67,1499.550049
68,1555.150024
69,1558.800049
70,1703.099976
71,1655.199951
72,1596.300049
73,1625.75
74,1680.599976
75,1727.699951
76,1669.699951
77,1664.150024
78,1663.449951
79,1580.300049
80,1591.449951
81,1715.800049
82,1836.75
83,1916
84,1724.349976
85,1689.900024
86,1732.150024
87,1703.900024
88,1689.699951
89,1658.449951
90,1674.099976
91,1712.75
92,1632.400024
93,1633.800049
94,1512.050049
95,1539.849976
96,1627
97,1597.300049
98,1516.150024
99,1502.150024
100,1570.400024
101,1623.699951
102,1658.900024
103,1737.699951
104,1813.550049
105,1835.650024
106,1764.300049
107,1766.599976
108,1760.800049
109,1772.099976
110,1809.300049
111,1787.449951
112,1792.199951
113,1751.650024
114,1821.900024
115,1794.650024
116,1855.949951
117,1835.099976
118,1819.400024
119,1838.099976
120,1797.75
121,1777.800049
122,1769.349976
123,1741.150024
124,1754.650024
125,1835.150024
126,1889.449951
127,1885.199951
128,1868.699951
129,1886.75
130,1886.050049
131,1941.849976
132,1886
133,1845.550049
134,1791.599976
135,1789.900024
136,1787.800049
137,1805.849976
138,1806.050049
139,1883.650024
140,1881.050049
141,1875.800049
142,1841.300049
143,1850.75
144,1897.349976
145,1877.300049
146,1810.650024
147,1781.949951
148,1739.800049
149,1781.099976
150,1776.699951
151,1783.75
152,1777.699951
153,1798.949951
154,1826.75
155,1814.199951
156,1804.849976
157,1791.699951
158,1800.550049
159,1820.699951
160,1827.949951
161,1785.150024
162,1804.050049
163,1829.849976
164,1829.599976
165,1816
166,1864.099976
167,1883.25
168,1832.599976
169,1851.199951
170,1827.199951
171,1808.75
172,1769.699951
173,1791.099976
174,1777.300049
175,1760.75
176,1777.449951
177,1768.150024
178,1738
179,1758.75
180,1768.150024
181,1744.349976
182,1724
183,1708.150024
184,1674.849976
185,1667.099976
186,1636.849976
187,1652
188,1681.449951
189,1713.099976
190,1740.050049
191,1790.650024
192,1785.099976
193,1934.400024
194,1948.75
195,1949.25
196,1957.650024
197,1965.400024
198,1943.400024
199,1979.849976
200,1947.199951
201,1961.699951
202,2031.5
203,2015.300049
204,2048.75
205,2042.550049
206,2059.699951
207,2073.350098
208,2041.349976
209,1968.900024
210,1934.300049
211,1923.550049
212,2040.800049
213,2130.949951
214,2088.199951
215,2100.699951
216,2138.449951
217,2152.100098
218,2272.100098
219,2324.300049
220,2332.100098
221,2306.75
222,2349
223,2364.899902
224,2324.600098
225,2334.800049
226,2250.800049
227,2217.699951
228,2191.350098
229,2238.399902
230,2256.25
231,2306.949951
232,2276.350098
233,2253.949951
234,2245.899902
235,2303.800049
236,2309.75
237,2306.699951
238,2289.100098
239,2295.899902
240,2302.649902
241,2350.350098
242,2424.649902
243,2494.600098
244,2479.399902
245,2414.800049
246,2403.649902
247,2403.050049
248,2455.149902
249,2476.449951
