ds,y
1,238.199997
2,237.699997
3,238.100006
4,239.850006
5,238.5
6,235.100006
7,235.350006
8,234.199997
9,235.800003
10,238
11,239.25
12,243.25
13,242.399994
14,240.75
15,239.949997
16,241.899994
17,238.449997
18,238.050003
19,237.899994
20,238.149994
21,234.600006
22,230.75
23,236.649994
24,234.050003
25,235.149994
26,207.600006
27,215.649994
28,216.449997
29,213.550003
30,213.399994
31,210.550003
32,212.600006
33,213.050003
34,211.899994
35,207.699997
36,204.800003
37,203.850006
38,206.699997
39,207.449997
40,203
41,201.800003
42,198.600006
43,197.550003
44,197.550003
45,195.300003
46,193.850006
47,187.5
48,188.050003
49,181.75
50,177.199997
51,175.649994
52,155.800003
53,162.25
54,147.25
55,149.149994
56,150.699997
57,161.850006
58,175.5
59,154.300003
60,149.699997
61,147.350006
62,156.399994
63,163.199997
64,159.199997
65,171.699997
66,166.399994
67,177.899994
68,181.550003
69,178.649994
70,185.25
71,181.600006
72,189.350006
73,186.350006
74,188.100006
75,180.699997
76,179.600006
77,182.25
78,180.550003
79,180.050003
80,179.850006
81,179.449997
82,182.149994
83,182.050003
84,174.050003
85,173.899994
86,163.899994
87,161
88,158.25
89,158.449997
90,165.050003
91,165.399994
92,163.800003
93,164.649994
94,164.75
95,170.75
96,175.75
97,188.949997
98,186.350006
99,191.699997
100,192.149994
101,190.649994
102,197.350006
103,200.550003
104,197.25
105,196.699997
106,200.149994
107,200
108,197.649994
109,198.5
110,199.050003
111,194.25
112,193.899994
113,187.199997
114,185
115,181.199997
116,186.600006
117,184.050003
118,185
119,185.850006
120,191.850006
121,202.100006
122,195.199997
123,197.25
124,194.649994
125,202.899994
126,205.850006
127,207.550003
128,199.800003
129,194.25
130,196.300003
131,195.449997
132,194.350006
133,197.550003
134,195.899994
135,198.699997
136,193.850006
137,194.050003
138,192.699997
139,192.25
140,196.550003
141,200.699997
142,199.600006
143,196.399994
144,195.399994
145,196.699997
146,193.350006
147,194.149994
148,192.600006
149,193.649994
150,192.800003
151,195.350006
152,196.050003
153,198.850006
154,203.050003
155,204.199997
156,201.449997
157,196.399994
158,198.75
159,198.550003
160,198.449997
161,195.800003
162,196.800003
163,196.699997
164,195.399994
165,194.949997
166,194.25
167,195.550003
168,191.100006
169,190.199997
170,191.350006
171,191.600006
172,186.699997
173,189.100006
174,188.149994
175,183.800003
176,184.899994
177,183.949997
178,183.350006
179,181.800003
180,180.649994
181,178.600006
182,179.100006
183,175.75
184,174.199997
185,172.5
186,166.550003
187,170.75
188,173.300003
189,169.399994
190,171.699997
191,170.850006
192,169.25
193,169.899994
194,169.5
195,167.149994
196,167.850006
197,172.199997
198,170.149994
199,167.800003
200,165.050003
201,165.699997
202,168.25
203,167.449997
204,167.649994
205,168.550003
206,170.75
207,168.550003
208,167.199997
209,165.5
210,163.850006
211,165.25
212,166.75
213,170.100006
214,169.800003
215,174.75
216,173.949997
217,172.800003
218,178.350006
219,185.300003
220,188
221,187.100006
222,187.350006
223,184.050003
224,187.899994
225,191.699997
226,190.850006
227,195.550003
228,193.850006
229,194.800003
230,193.649994
231,194.399994
232,195.949997
233,196.199997
234,198.199997
235,203.149994
236,202.449997
237,205.399994
238,212.699997
239,216.300003
240,215.899994
241,213.550003
242,214
243,213.050003
244,214.5
245,202.949997
246,203.399994
247,207.75
248,208.600006
249,209.5
