From Date,PM10,PM2.5,NO2,Ozone,SO2,CO
26-Apr-18,20.9,9.11,1.43,46.34,2.2,1.96
06-May-18,None,16.3,17.47,42.82,25.42,1.3
07-May-18,None,18.69,22.65,33.97,21.77,1.3
08-May-18,47.47,17.82,30.04,35.53,19.65,1.36
09-May-18,60.73,18.34,28.91,35.85,18.49,1.35
10-May-18,66.88,22.97,23.39,37.36,21.76,1.3
11-May-18,79.53,23.95,25.08,36.56,24.91,1.25
12-May-18,93.85,31.5,20.37,33.24,25.82,1.23
13-May-18,76.82,23.94,29.9,39.28,21.53,1.36
14-May-18,45.4,21.61,18.38,36.76,21.64,1.25
15-May-18,49.73,15.2,18.38,35.12,20.48,1.22
16-May-18,48.82,17.95,20.25,30.76,19.92,1.21
17-May-18,72.49,24.71,18.22,40.45,16.19,1.25
18-May-18,68.63,22.79,27.25,37.06,20.44,1.31
19-May-18,89.67,24.81,23.81,34.55,24.53,1.33
20-May-18,81.39,20.16,21.32,47.02,22.6,1.34
21-May-18,81.61,19.64,19.92,42.89,24.94,1.27
22-May-18,88.42,21.72,23.39,46.11,21.85,1.32
23-May-18,91.57,25.62,5.87,55.36,24.05,1.32
24-May-18,87.79,22.6,None,50.18,20.28,1.18
25-May-18,56.13,15.26,None,49.36,20.93,1.06
26-May-18,66.52,19.99,None,51.02,22.04,1.09
27-May-18,1.33,11.83,None,None,26.7,1.23
28-May-18,None,16.65,None,210.57,22.87,1.14
29-May-18,None,22.22,None,71.85,19.54,1.16
30-May-18,None,19.59,None,57.78,20.8,1.16
31-May-18,None,19.59,None,48.87,20.36,1.18
01-Jun-18,None,18.85,None,38.99,20.37,1.21
02-Jun-18,None,19.44,None,45.37,13.43,1.45
03-Jun-18,None,18.33,None,45.49,24.6,1.69
04-Jun-18,None,19.93,None,40.64,24.35,1.48
05-Jun-18,None,26.7,None,43.02,25.74,1.57
06-Jun-18,None,17.41,None,53.25,27.44,1.06
07-Jun-18,None,47.78,None,38.95,27.59,1.3
08-Jun-18,None,17.9,None,38.55,26.91,1.31
09-Jun-18,None,11.75,None,42.41,29.89,1.42
10-Jun-18,None,1.8,None,46.48,26.7,1.03
11-Jun-18,None,14.26,None,40.66,26.86,1
12-Jun-18,None,16.19,None,45.36,26.71,1.05
13-Jun-18,None,17.31,None,41.47,24.49,1.03
14-Jun-18,None,19.08,None,35.42,21.91,1.08
15-Jun-18,None,19.93,None,33.26,22.53,1.11
16-Jun-18,35.31,17.75,None,33.18,29.89,1.44
17-Jun-18,71.11,16.41,None,28.43,22.99,1.53
18-Jun-18,30.17,10.75,9.65,30.24,24.51,1.45
19-Jun-18,47.08,16.47,25.11,36.39,20.15,1.38
20-Jun-18,97.77,26.14,20.83,38.77,19.99,1.44
21-Jun-18,82.04,22.54,9.86,41.07,17.53,1.16
22-Jun-18,71.76,18.53,8.03,44.78,18.99,1.19
23-Jun-18,54.87,17.54,25.64,34.05,21.22,1.5
24-Jun-18,40.73,10.48,20.26,39.23,19.08,1.33
25-Jun-18,51.29,13.34,9.77,48.43,18.71,1.19
26-Jun-18,73.02,22.04,7.4,33.36,19.08,1.18
27-Jun-18,72.5,18.51,15.62,34.69,19.04,1.21
28-Jun-18,64.7,19.91,29.56,31.44,20.01,1.41
29-Jun-18,67.13,17.91,23.91,34.71,19.88,1.75
30-Jun-18,67.02,17.48,22.03,28.44,16.51,1.52
01-Jul-18,48.23,13.06,21.29,21.84,19.45,1.5
02-Jul-18,51.78,13.66,22.05,21.91,15.4,1.37
03-Jul-18,65.9,18.54,25.25,26.02,18.25,1.5
04-Jul-18,49.46,14.09,13.47,28.98,14.61,1.19
05-Jul-18,75.54,14.3,13.29,27.49,13.35,1.19
06-Jul-18,69.43,14.2,15.71,26.31,12.63,1.16
07-Jul-18,48.38,13.29,22.34,28.01,12.77,1.27
08-Jul-18,None,None,35.57,None,None,1.41
09-Jul-18,35.71,12.14,30.75,24.67,17.59,1.49
10-Jul-18,46.94,11.67,18.33,36.83,14.19,1.17
11-Jul-18,70.44,17.53,16.52,27.42,14.86,1.18
12-Jul-18,70.29,16.1,16.67,25.42,11.52,1.19
13-Jul-18,91.92,14.2,17.63,25.6,11.53,1.23
14-Jul-18,94.96,18.99,16.08,25.14,11.67,1.19
15-Jul-18,89.58,15.16,15.29,32.94,11.42,1.14
16-Jul-18,84.99,14.32,16.46,29.51,11.49,1.16
17-Jul-18,75.16,16.31,16.51,27.52,11.86,1.22
18-Jul-18,63.93,23.59,17.46,25.97,11.18,1.25
19-Jul-18,74.64,35.98,15.16,24.79,9.96,1.21
20-Jul-18,70.89,16.32,18.73,27.64,11.5,1.24
21-Jul-18,73.64,15.26,17.42,27.84,12.33,1.05
22-Jul-18,54.5,14.06,16.49,23.96,11.89,1.02
23-Jul-18,59.21,14.23,17.66,30.14,11.62,1.08
24-Jul-18,55.28,15.41,16.13,19.4,12.58,1.1
25-Jul-18,54.58,15.87,14.81,21.38,13.41,1.03
26-Jul-18,61.14,15.55,13.75,21.99,12.83,1.15
27-Jul-18,50.33,13.53,12.43,22.8,12.16,1.14
28-Jul-18,52.92,14.05,12.88,22.11,13.15,1.14
29-Jul-18,52.3,13.39,13.75,21.78,15.09,1.04
30-Jul-18,54.31,15.79,11.45,21.41,12.1,1.16
31-Jul-18,63.42,16.21,16.02,23.89,9.44,1.22
01-Aug-18,66.09,14.83,15.62,24.08,10.2,1.17
02-Aug-18,56.66,14.86,31.67,32.8,20.5,1.2
03-Aug-18,47.46,17.21,42.57,19.08,24.31,1.18
04-Aug-18,46.01,10.64,22.8,27.89,10.99,1.19
05-Aug-18,40.96,9.03,21.14,27.18,15.35,1.16
06-Aug-18,42.43,11.43,15.08,27.2,12.3,1.2
07-Aug-18,53.31,12.71,20.08,28.34,9.18,1.21
08-Aug-18,53.79,13,21.19,27.1,9.69,1.2
09-Aug-18,48.16,11.5,31.04,33.74,12.11,1.22
10-Aug-18,47.41,12.11,20.23,34.25,10.54,1.21
11-Aug-18,43.12,11.97,20.81,39.21,11.07,1.24
12-Aug-18,42.4,9.74,20.66,38.68,11.93,1.23
13-Aug-18,45.7,13.6,17.87,38.27,9.21,1.13
14-Aug-18,65.79,408.07,21,39.29,11.91,0.92
15-Aug-18,89.27,26.5,21.82,44.35,14.35,1.12
