date,World,India
31-12-2019,27,0
01-01-2020,27,0
02-01-2020,27,0
03-01-2020,44,0
04-01-2020,44,0
05-01-2020,59,0
06-01-2020,59,0
07-01-2020,59,0
08-01-2020,59,0
09-01-2020,59,0
10-01-2020,59,0
11-01-2020,59,0
12-01-2020,59,0
13-01-2020,60,0
14-01-2020,60,0
15-01-2020,61,0
16-01-2020,61,0
17-01-2020,66,0
18-01-2020,83,0
19-01-2020,219,0
20-01-2020,239,0
21-01-2020,392,0
22-01-2020,534,0
23-01-2020,631,0
24-01-2020,897,0
25-01-2020,1350,0
26-01-2020,2023,0
27-01-2020,2820,0
28-01-2020,4587,0
29-01-2020,6067,0
30-01-2020,7823,1
31-01-2020,9824,1
01-02-2020,11946,1
02-02-2020,14554,2
03-02-2020,17372,2
04-02-2020,20615,3
05-02-2020,24523,3
06-02-2020,28274,3
07-02-2020,31492,3
08-02-2020,34934,3
09-02-2020,37552,3
10-02-2020,40544,3
11-02-2020,43106,3
12-02-2020,45178,3
13-02-2020,60329,3
14-02-2020,64544,3
15-02-2020,67104,3
16-02-2020,69266,3
17-02-2020,71333,3
18-02-2020,73328,3
19-02-2020,75192,3
20-02-2020,75724,3
21-02-2020,76720,3
22-02-2020,77805,3
23-02-2020,78814,3
24-02-2020,79337,3
25-02-2020,80130,3
26-02-2020,80997,3
27-02-2020,82111,3
28-02-2020,83377,3
29-02-2020,85236,3
01-03-2020,87080,3
02-03-2020,89149,3
03-03-2020,91006,5
04-03-2020,93318,6
05-03-2020,95672,28
06-03-2020,98730,29
07-03-2020,102850,31
08-03-2020,106827,34
09-03-2020,111004,
10-03-2020,115820,44
11-03-2020,120927,50
12-03-2020,128825,73
13-03-2020,138276,75
14-03-2020,148680,83
15-03-2020,160845,90
16-03-2020,173300,93
17-03-2020,187501,125
18-03-2020,204507,137
19-03-2020,224721,165
20-03-2020,255815,191
21-03-2020,287724,231
22-03-2020,321931,320
23-03-2020,356217,439
24-03-2020,400703,492
25-03-2020,443089,562
26-03-2020,496839,649
27-03-2020,557855,724
28-03-2020,622949,873
29-03-2020,685763,979
30-03-2020,743126,1071
31-03-2020,807614,1251
01-04-2020,882288,1397
02-04-2020,959761,1965
03-04-2020,1037219,2301
04-04-2020,1119049,2902
05-04-2020,1204292,3374
06-04-2020,1270568,4067
07-04-2020,1343556,4421
08-04-2020,1420823,5194
09-04-2020,1505743,5734
10-04-2020,1593007,6412
11-04-2020,1682519,7447
12-04-2020,1757833,8356
13-04-2020,1826361,9152
14-04-2020,1891081,10363
15-04-2020,1967577,11438
16-04-2020,2045925,12380
17-04-2020,2129866,13387
18-04-2020,2211645,14378
19-04-2020,2291208,15712
20-04-2020,2361770,17265
21-04-2020,2435505,18600
22-04-2020,2522170,19984
23-04-2020,2588514,21393
24-04-2020,2666999,23077
25-04-2020,2739791,24506
26-04-2020,2839573,26496
27-04-2020,2921250,27892
28-04-2020,2987070,29435
29-04-2020,3059324,31332
30-04-2020,3138126,33050
01-05-2020,3223459,35043
02-05-2020,3312126,37336
03-05-2020,3392754,39980
04-05-2020,3469919,42533
05-05-2020,3546455,46433
06-05-2020,3625138,49391
07-05-2020,3712695,52952
08-05-2020,3805119,56342
09-05-2020,3894330,59662
10-05-2020,3983173,62939
11-05-2020,4057867,67152
12-05-2020,4127601,70756
13-05-2020,4213814,74281
14-05-2020,4300071,78003
15-05-2020,4396614,81970
16-05-2020,4493833,85940
17-05-2020,4586768,90927
18-05-2020,4666271,96169
19-05-2020,4752638,101139
20-05-2020,4848182,106750
21-05-2020,4951509,112359
22-05-2020,5059289,118447
23-05-2020,5165089,125101
24-05-2020,5265116,131868
25-05-2020,5358271,138845
26-05-2020,5447114,145380
27-05-2020,5540895,151767
28-05-2020,5643714,158333
29-05-2020,5762220,165799
30-05-2020,5884289,173763
31-05-2020,6012227,182143
01-06-2020,6118943,190535
02-06-2020,6219237,198706
03-06-2020,6331624,207615
04-06-2020,6457136,216919
05-06-2020,6584060,226770
06-06-2020,6717250,236657
07-06-2020,6843247,246628
08-06-2020,6958076,256611
09-06-2020,7063697,266598
10-06-2020,7188934,276583
11-06-2020,7323788,286579
12-06-2020,7459943,297535
13-06-2020,7604569,308993
14-06-2020,7737981,320922
15-06-2020,7859177,332424
16-06-2020,7977672,343091
17-06-2020,8119148,354065
18-06-2020,8296012,366946
19-06-2020,8434462,380532
20-06-2020,8614773,395048
21-06-2020,8775090,410461
22-06-2020,8904288,425282
23-06-2020,9038527,440215
24-06-2020,9202419,456183
25-06-2020,9377413,473105
26-06-2020,9556154,490401
27-06-2020,9744826,508953
28-06-2020,9926854,528859
29-06-2020,10087057,548318
30-06-2020,10245215,566840
01-07-2020,10437300,585493
02-07-2020,10637676,604641
03-07-2020,10846301,625544
04-07-2020,11051825,648315
05-07-2020,11242889,673165
06-07-2020,11421168,697413
07-07-2020,11595446,719665
08-07-2020,11802388,742417
09-07-2020,12017894,767296
10-07-2020,12243041,793802
11-07-2020,12474502,820916
12-07-2020,12692496,849553
13-07-2020,12887995,878254
14-07-2020,13076441,906752
15-07-2020,13300134,936181
16-07-2020,13531833,968876
17-07-2020,13786211,1003832
18-07-2020,14034404,1038716
19-07-2020,14264695,1077618
20-07-2020,14480245,1118043
21-07-2020,14681009,1155191
22-07-2020,14920794,1192915
23-07-2020,15202427,1238635
24-07-2020,15478718,1287945
25-07-2020,15762629,1336861
26-07-2020,16022257,1385522
27-07-2020,16254115,1435453
28-07-2020,16466022,1483156
29-07-2020,16709824,1531669
30-07-2020,17007935,1583792
31-07-2020,17298366,1638870
01-08-2020,17577428,1695988
02-08-2020,17845285,1750723
03-08-2020,18068577,1803695
04-08-2020,18273234,1855745
05-08-2020,18528906,1908254
06-08-2020,18806510,1964536
07-08-2020,19092435,2027074
08-08-2020,19368338,2088611
09-08-2020,19637056,2153010
10-08-2020,19866470,2215074
11-08-2020,20086236,2268675
12-08-2020,20347703,2329638
13-08-2020,20637051,2396637
14-08-2020,20923721,2461190
15-08-2020,21212639,2526192
16-08-2020,21472272,2589682
17-08-2020,21704633,2647663
18-08-2020,21901179,2702742
19-08-2020,22156203,2767273
20-08-2020,22437721,2836925
21-08-2020,22714039,2905823
22-08-2020,22967270,2975701
23-08-2020,23234000,3044940
24-08-2020,23458348,3106348
25-08-2020,23669806,3167323
26-08-2020,23924879,3234474
27-08-2020,24201554,3310234
28-08-2020,24484964,3387500
29-08-2020,24761563,3463972
30-08-2020,25030574,3542733
31-08-2020,25275798,3621245
01-09-2020,25518304,3691166
02-09-2020,25786849,3769523
03-09-2020,26069989,3853406
04-09-2020,26348843,3936747
05-09-2020,26642303,4023179
06-09-2020,26922028,4113811
07-09-2020,27170661,4204613
08-09-2020,27377042,4280422
09-09-2020,27621686,4370128
10-09-2020,27909635,4465863
11-09-2020,28214704,4562414
12-09-2020,28520028,4659984
13-09-2020,28807124,4754356
14-09-2020,29079718,4846427
15-09-2020,29322588,4930236
16-09-2020,29626785,5020359
17-09-2020,29918864,5118253
18-09-2020,30234233,5214677
19-09-2020,30545512,5308014
20-09-2020,30841527,5400619
21-09-2020,31127695,5487580
22-09-2020,31393507,5562663
23-09-2020,31674846,5646010
24-09-2020,31985737,5732518
25-09-2020,32306675,5818570
26-09-2020,32617734,5903932
27-09-2020,32919182,5992532
28-09-2020,33200591,6074702
29-09-2020,33423469,6145291
