frame.number,frame.time,frame.len,eth.src,eth.dst,ip.src,ip.dst,ip.proto,ip.len,tcp.len,tcp.srcport,tcp.dstport,Value,normality
1.0,123722736684743.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,49279.0,80.0,-99.0,0.0
2.0,123722736773147.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,56521.0,80.0,-99.0,0.0
3.0,123722736824792.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,56521.0,-99.0,0.0
4.0,123722736836228.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,49279.0,-99.0,0.0
5.0,123722749684991.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56521.0,80.0,-99.0,0.0
6.0,123722749768133.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,49279.0,80.0,-99.0,0.0
7.0,123722749949593.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,56521.0,80.0,62.0,1.0
8.0,123722749984401.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,56521.0,-99.0,0.0
9.0,123722750551006.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,56521.0,-99.0,0.0
10.0,123722852229329.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56521.0,80.0,-99.0,0.0
11.0,123722852337746.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,56521.0,-99.0,0.0
12.0,123722853230322.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,56127.0,80.0,-99.0,0.0
13.0,123722853268920.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,56127.0,-99.0,0.0
