Actual,LSVR,Ridge,Lasso,Ensemble,LSTM
71.418,71.2464,71.2271,71.2595,71.2434,69.56455
71.275,71.3812,71.363,71.3948,71.3792,69.60303
71.155,71.2392,71.2213,71.2526,71.2371,69.52958
71.451,71.1197,71.1018,71.1329,71.1174,69.28234
71.549,71.4137,71.3974,71.4276,71.4131,69.18475
71.439,71.5118,71.4957,71.5259,71.5114,69.28061
71.93,71.4033,71.3877,71.4174,71.4029,69.419365
71.513,71.889,71.8721,71.9035,71.8889,69.435295
72.025,71.4743,71.4548,71.4878,71.4717,69.37242
71.543,71.982,71.9598,71.9957,71.9784,69.01726
71.829,71.5039,71.4818,71.517,71.4995,68.870476
71.69,71.7898,71.7688,71.8036,71.7864,68.92642
71.453,71.6524,71.6316,71.6662,71.6489,68.850624
71.969,71.4168,71.3968,71.4302,71.4134,68.83478
72.17,71.927,71.9056,71.9409,71.9238,69.06171
71.989,72.1253,72.101,72.1389,72.1207,69.08131
71.928,71.9478,71.9241,71.9614,71.943,68.989426
71.645,71.8888,71.8682,71.9029,71.8858,68.96689
71.778,71.6069,71.5874,71.6207,71.6043,69.15595
71.875,71.7405,71.7234,71.755,71.7396,69.29627
71.577,71.8377,71.8225,71.8527,71.8382,69.1906
70.967,71.5411,71.5252,71.5554,71.5407,69.17157
70.985,70.9337,70.9156,70.9466,70.9309,69.20345
71.58,70.9513,70.9342,70.9644,70.9493,69.44661
71.49,71.5481,71.5362,71.5634,71.5499,69.47612
71.145,71.4594,71.4477,71.4746,71.4611,69.4311
71.375,71.1144,71.1007,71.1286,71.1144,69.47786
71.075,71.3423,71.3295,71.357,71.3434,69.42259
70.799,71.0453,71.0328,71.0596,71.046,69.29508
70.971,70.7712,70.7568,70.7848,70.7701,69.25241
70.988,70.9412,70.9262,70.9549,70.94,69.17404
70.964,70.9561,70.9395,70.9695,70.9541,69.07329
70.509,70.932,70.9161,70.9454,70.9305,68.92787
70.645,70.4807,70.4643,70.4933,70.478,68.81668
71.11,70.6146,70.5986,70.6274,70.6126,68.90117
71.03,71.0741,71.0573,71.0873,71.0727,68.975685
70.825,70.9926,70.97,71.0046,70.9873,68.90099
70.975,70.7903,70.7684,70.8022,70.7849,68.960075
71.22,70.9397,70.9187,70.952,70.9351,69.12443
71.12,71.1811,71.1584,71.1934,71.176,69.137726
70.99,71.083,71.0612,71.0954,71.0782,69.16413
70.924,70.9539,70.9323,70.9661,70.949,69.214264
71.237,70.8901,70.8714,70.9028,70.8869,69.18926
71.5,71.1993,71.1795,71.2121,71.1961,69.13691
71.364,71.4596,71.4392,71.4727,71.4566,69.1637
71.13,71.3247,71.3045,71.3376,71.3215,69.24732
71.09,71.0927,71.0722,71.1053,71.0889,69.23755
70.925,71.0543,71.0349,71.0671,71.051,69.29224
70.809,70.8898,70.8701,70.9022,70.8861,69.21773
70.725,70.7758,70.7572,70.7883,70.7725,69.08739
70.965,70.6934,70.6747,70.7059,70.6897,69.0898
70.82,70.9329,70.9153,70.946,70.9302,69.19411
70.745,70.7895,70.7708,70.8022,70.7857,69.32375
70.89,70.715,70.698,70.7279,70.7123,69.53448
70.953,70.8575,70.84,70.8704,70.8549,70.19131
70.98,70.9198,70.9018,70.9327,70.917,70.785065
70.76,70.946,70.926,70.9586,70.9419,70.912796
70.789,70.7284,70.7083,70.7408,70.7238,70.61646
70.775,70.7594,70.7413,70.7723,70.7559,70.56571
71.01,70.7456,70.7287,70.7587,70.743,70.96218
71.047,70.9786,70.9623,70.992,70.9768,71.24747
71.36,71.0153,70.9999,71.029,71.0142,71.296715
71.57,71.3246,71.3097,71.3387,71.3246,71.165695
71.79,71.5331,71.5186,71.5475,71.5338,71.19293
72.15,71.7516,71.7379,71.7665,71.7532,71.34432
71.966,72.1081,72.0929,72.1233,72.1094,71.40565
71.65,71.9268,71.9115,71.9418,71.9275,71.58793
71.945,71.6131,71.5979,71.6276,71.6134,71.5658
71.83,71.9057,71.8909,71.9207,71.9068,71.573326
71.746,71.7905,71.7742,71.8051,71.7905,71.66544
71.75,71.7071,71.6903,71.7215,71.7066,71.56899
71.792,71.7128,71.6979,71.7276,71.7134,71.77298
71.689,71.7553,71.7414,71.7703,71.7566,71.65842
71.48,71.6525,71.6391,71.6674,71.654,71.69166
71.26,71.4458,71.4331,71.4606,71.4473,71.91051
71.505,71.2278,71.2151,71.2423,71.2289,71.91636
71.749,71.4703,71.4573,71.4851,71.4717,71.95384
71.634,71.7108,71.696,71.7255,71.7116,71.854836
71.74,71.5961,71.5804,71.6104,71.5962,71.66426
71.474,71.7009,71.684,71.7152,71.7003,71.8231
71.252,71.4395,71.4238,71.4538,71.4389,71.78049
71.283,71.2206,71.2063,71.2348,71.2204,71.34679
70.97,71.2511,71.2378,71.2656,71.2517,70.97344
70.81,70.9411,70.9288,70.9553,70.9417,71.15986
70.71,70.7827,70.7705,70.7967,70.7831,71.76294
70.57,70.6833,70.6707,70.6971,70.6832,71.622665
70.798,70.5452,70.5325,70.5588,70.5447,71.401726
70.915,70.7716,70.7599,70.7858,70.7722,71.346634
71.035,70.8882,70.8762,70.9026,70.8887,71.14166
